qn1d,qn1f,qn1c,qn1h,qn2b,qn4b,qn4c,qn4e,qn1jyear,ui_lpr,ui_work
51,2,1,3,5,4,1,1,2015,1,3
22,2,4,3,2,2,2,2,2015,1,2
40,1,1,18,5,3,1,1,2016,1,1
30,2,1,18,5,3,1,1,2016,1,3
20,2,4,97,1,1,1,6,2016,1,1
22,2,4,97,1,4,1,2,2016,1,3
45,2,1,97,1,3,1,2,2016,1,1
21,2,4,97,1,3,1,2,2016,1,3
18,2,4,97,1,1,1,6,2016,1,1
31,1,1,97,1,2,2,1,2015,1,1
55,1,1,6,2,3,2,2,2018,1,1
35,1,1,3,1,3,1,1,2017,2,1
51,2,1,5,6,3,1,2,2014,1,1
22,1,4,5,5,1,2,2,2014,1,1
58,1,1,5,4,3,1,1,2014,1,1
50,2,1,10,2,3,1,1,2014,1,1
27,1,4,10,1,4,1,1,2014,1,3
50,1,1,10,5,2,1,1,2014,1,3
66,1,1,22,5,3,1,2,2017,2,3
34,2,7,22,7,3,1,2,2018,3,1
34,2,1,22,5,3,1,2,2017,2,2
30,2,4,10,2,2,1,1,2016,1,3
24,2,4,10,5,1,1,2,2016,1,2
22,1,4,10,2,1,2,1,2016,1,2
20,2,4,10,2,1,1,2,2016,1,2
43,2,5,10,5,3,1,1,2016,1,3
47,2,3,24,7,2,2,1,2014,1,1
59,2,1,18,5,3,1,1,2018,1,1
60,1,1,18,5,3,1,1,2018,1,3
33,1,1,6,5,3,1,1,2014,1,1
37,1,4,97,1,3,1,1,2017,1,2
32,1,1,6,5,3,2,2,2018,1,1
51,2,1,10,6,2,1,2,2016,1,1
26,2,4,10,5,2,1,2,2015,1,3
